	variable	value	class
492	XG1	0.778	Severe covid
493	XG1	0.896	Severe covid
494	XG1	1.005	Severe covid
495	XG1	1.708	Severe covid
496	XG1	1.416	Severe covid
497	XG1	0.636	Severe covid
498	XG1	1.163	Severe covid
499	XG1	1.285	Severe covid
500	XG1	0.665	Severe covid
501	XG1	0.772	Severe covid
502	XG1	0.909	Severe covid
503	XG1	0.812	Severe covid
504	XG1	1.029	Severe covid
505	XG1	0.813	Severe covid
506	XG1	0.895	Severe covid
507	XG1	1.211	Severe covid
508	XG1	1.086	Severe covid
509	XG1	1.026	Severe covid
510	XG1	0.744	Severe covid
511	XG1	1.778	Severe covid
512	XG1	0.631	Severe covid
513	XG1	1.464	Severe covid
514	XG1	1.019	Severe covid
515	XG1	0.91	Severe covid
516	XG1	2.327	Severe covid
517	XG1	0.0	Severe covid
518	XG1	0.706	Severe covid
519	XG1	1.224	Severe covid
520	XG1	0.843	Severe covid
521	XG1	1.751	Severe covid
522	XG1	1.896	Severe covid
523	XG1	1.571	Severe covid
524	XG1	0.413	Severe covid
525	XG1	0.348	Severe covid
526	XG1	0.183	Severe covid
527	XG1	0.482	Severe covid
528	XG1	1.249	Severe covid
529	XG1	1.028	Severe covid
530	XG1	1.077	Severe covid
531	XG1	0.94	Severe covid
532	XG1	0.615	Severe covid
533	XG1	0.99	Severe covid
534	XG1	0.65	Severe covid
535	XG1	1.687	Severe covid
536	XG1	1.3	Severe covid
537	XG1	1.299	Severe covid
538	XG1	0.967	Severe covid
539	XG1	0.92	Severe covid
540	XG1	1.324	Severe covid
541	XG1	0.904	Severe covid
542	XG1	1.121	Severe covid
543	XG1	1.395	Severe covid
544	XG1	1.459	Severe covid
545	XG1	0.788	Severe covid
546	XG1	0.945	Severe covid
547	XG1	0.955	Severe covid
548	XG1	0.864	Severe covid
549	XG1	0.863	Severe covid
550	XG1	0.875	Severe covid
551	XG1	0.858	Severe covid
552	XG1	1.168	Severe covid
553	XG1	1.013	Severe covid
554	XG1	1.31	Severe covid
555	XG1	1.195	Severe covid
556	XG1	0.867	Severe covid
557	XG1	1.247	Severe covid
558	XG1	0.856	Severe covid
559	XG1	1.535	Severe covid
560	XG1	1.157	Severe covid
561	XG1	0.958	Severe covid
562	XG1	0.973	Severe covid
563	XG1	1.211	Severe covid
564	XG1	0.911	Severe covid
565	XG1	0.566	Severe covid
566	XG1	0.981	Severe covid
567	XG1	0.795	Severe covid
568	XG1	1.183	Severe covid
569	XG1	0.773	Severe covid
570	XG1	0.0	Severe covid
571	XG1	0.932	Severe covid
572	XG1	0.93	Severe covid
573	XG1	1.24	Severe covid
574	XG1	0.994	Severe covid
575	XG1	0.748	Severe covid
576	XG1	1.304	Severe covid
577	XG1	1.518	Severe covid
578	XG1	0.869	Severe covid
579	XG1	1.16	Severe covid
580	XG1	1.159	Severe covid
581	XG1	0.0	Severe covid
582	XG1	0.956	Severe covid
583	XG1	1.047	Severe covid
584	XG1	0.488	Severe covid
585	XG1	0.942	Severe covid
586	XG1	1.538	Severe covid
587	XG1	0.0	Severe covid
588	XG1	1.161	Severe covid
589	XG1	0.854	Severe covid
590	XG1	1.164	Severe covid
591	XG1	1.146	Severe covid
592	XG1	0.955	Severe covid
593	XG1	0.994	Severe covid
594	XG1	0.702	Severe covid
595	XG1	0.811	Severe covid
596	XG1	0.742	Severe covid
597	XG1	0.51	Severe covid
598	XG1	0.0	Severe covid
599	XG1	0.839	Severe covid
600	XG1	1.261	Severe covid
601	XG1	1.017	Severe covid
602	XG1	0.629	Severe covid
603	XG1	0.955	Severe covid
604	XG1	0.675	Severe covid
605	XG1	1.026	Severe covid
606	XG1	1.066	Severe covid
607	XG1	1.007	Severe covid
608	XG1	1.088	Severe covid
609	XG1	1.264	Severe covid
610	XG1	0.749	Severe covid
611	XG1	0.939	Severe covid
612	XG1	0.0	Severe covid
613	XG1	0.72	Severe covid
614	XG1	0.928	Severe covid
615	XG1	0.721	Severe covid
616	XG1	1.485	Severe covid
617	XG1	0.0	Severe covid
618	XG1	1.063	Severe covid
619	XG1	0.964	Severe covid
620	XG1	0.77	Severe covid
621	XG1	0.787	Severe covid
622	XG1	5.078	Severe covid
623	XG1	0.0	Severe covid
624	XG1	0.908	Severe covid
625	XG1	0.541	Severe covid
626	XG1	0.783	Severe covid
627	XG1	1.096	Severe covid
628	XG1	0.629	Severe covid
629	XG1	0.0	Severe covid
630	XG1	1.145	Severe covid
631	XG1	1.886	Severe covid
632	XG1	1.956	Severe covid
633	XG1	0.615	Severe covid
634	XG1	0.0	Severe covid
635	XG1	0.0	Severe covid
636	XG1	1.412	Severe covid
637	XG1	0.943	Severe covid
638	XG1	0.71	Severe covid
639	XG1	0.0	Severe covid
640	XG1	1.28	Severe covid
641	XG1	0.923	Severe covid
642	XG1	0.0	Severe covid
643	XG1	0.372	Severe covid
644	XG1	0.24	Severe covid
645	XG1	0.76	Severe covid
646	XG1	1.338	Severe covid
647	XG1	0.934	Severe covid
648	XG1	1.095	Severe covid
649	XG1	0.981	Severe covid
650	XG1	1.392	Severe covid
651	XG1	1.043	Severe covid
652	XG1	1.014	Severe covid
653	XG1	0.603	Severe covid
654	XG1	1.048	Severe covid
655	XG1	0.7	Severe covid
656	XG1	2.217	Severe covid
657	XG1	1.065	Severe covid
658	XG1	0.746	Severe covid
659	XG1	0.845	Severe covid
660	XG1	0.0	Severe covid
661	XG1	0.0	Severe covid
662	XG1	1.588	Severe covid
663	XG1	1.246	Severe covid
664	XG1	0.961	Severe covid
665	XG1	1.546	Severe covid
666	XG1	0.785	Severe covid
667	XG1	0.0	Severe covid
668	XG1	0.778	Severe covid
669	XG1	1.287	Severe covid
670	XG1	0.893	Severe covid
671	XG1	0.862	Severe covid
672	XG1	0.996	Severe covid
673	XG1	0.0	Severe covid
674	XG1	0.719	Severe covid
675	XG1	0.908	Severe covid
676	XG1	1.067	Severe covid
677	XG1	1.07	Severe covid
678	XG1	1.31	Severe covid
679	XG1	1.704	Severe covid
680	XG1	0.871	Severe covid
681	XG1	0.0	Severe covid
682	XG1	0.858	Severe covid
683	XG1	0.945	Severe covid
684	XG1	0.656	Severe covid
685	XG1	0.889	Severe covid
686	XG1	0.866	Severe covid
687	XG1	0.0	Severe covid
688	XG1	1.077	Severe covid
689	XG1	0.811	Severe covid
690	XG1	0.926	Severe covid
691	XG1	0.983	Severe covid
692	XG1	0.959	Severe covid
693	XG1	0.963	Severe covid
694	XG1	0.912	Severe covid
695	XG1	0.0	Severe covid
696	XG1	0.762	Severe covid
697	XG1	1.101	Severe covid
698	XG1	0.0	Severe covid
699	XG1	0.741	Severe covid
700	XG1	0.805	Severe covid
701	XG1	1.133	Severe covid
702	XG1	0.973	Severe covid
703	XG1	1.091	Severe covid
704	XG1	1.108	Severe covid
705	XG1	0.545	Severe covid
706	XG1	0.866	Severe covid
707	XG1	0.563	Severe covid
708	XG1	1.314	Severe covid
709	XG1	0.871	Severe covid
710	XG1	1.276	Severe covid
711	XG1	1.125	Severe covid
712	XG1	1.103	Severe covid
713	XG1	0.885	Severe covid
714	XG1	0.259	Severe covid
715	XG1	0.915	Severe covid
716	XG1	1.307	Severe covid
717	XG1	0.0	Severe covid
718	XG1	0.66	Severe covid
719	XG1	0.991	Severe covid
720	XG1	1.0	Severe covid
721	XG1	0.947	Severe covid
722	XG1	0.869	Severe covid
723	XG1	1.479	Severe covid
724	XG1	0.976	Severe covid
725	XG1	0.867	Severe covid
726	XG1	1.052	Severe covid
727	XG1	1.131	Severe covid
728	XG1	1.002	Severe covid
729	XG1	0.714	Severe covid
730	XG1	0.526	Severe covid
731	XG1	1.019	Severe covid
732	XG1	0.732	Severe covid
733	XG1	0.0	Severe covid
734	XG1	2.014	Severe covid
735	XG1	1.162	Severe covid
736	XG1	1.244	Severe covid
737	XG1	0.689	Severe covid
738	XG1	1.029	Severe covid
739	XG1	0.0	Severe covid
740	XG1	0.971	Severe covid
741	XG1	1.03	Severe covid
742	XG1	0.797	Severe covid
743	XG1	1.117	Severe covid
744	XG1	2.115	Severe covid
745	XG1	1.058	Severe covid
746	XG1	1.094	Severe covid
747	XG1	0.838	Severe covid
748	XG1	1.329	Severe covid
749	XG1	0.653	Severe covid
750	XG1	0.0	Severe covid
751	XG1	0.819	Severe covid
752	XG1	0.602	Severe covid
753	XG1	0.69	Severe covid
754	XG1	1.181	Severe covid
755	XG1	0.748	Severe covid
756	XG1	0.0	Severe covid
757	XG1	0.0	Severe covid
758	XG1	0.553	Severe covid
759	XG1	0.893	Severe covid
760	XG1	0.0	Severe covid
761	XG1	0.0	Severe covid
762	XG1	0.95	Severe covid
763	XG1	0.739	Severe covid
764	XG1	0.868	Severe covid
765	XG1	1.007	Severe covid
766	XG1	0.922	Severe covid
767	XG1	0.764	Severe covid
768	XG1	0.887	Severe covid
769	XG1	0.924	Severe covid
770	XG1	1.97	Severe covid
771	XG1	0.907	Severe covid
772	XG1	0.713	Severe covid
773	XG1	1.272	Severe covid
774	XG1	1.336	Severe covid
775	XG1	0.843	Severe covid
776	XG1	0.489	Severe covid
777	XG1	0.873	Severe covid
778	XG1	0.888	Severe covid
779	XG1	0.669	Severe covid
780	XG1	0.0	Severe covid
781	XG1	1.081	Severe covid
782	XG1	0.595	Severe covid
